제조사,제조국,원산지,코코아퍼센트,평점,리뷰연도
Choco Del Sol,Germany,Belize,82,3.25,2014
Choco Dong,South Korea,Vietnam,70,2.75,2015
Choco Dong,South Korea,Malaysia,70,3.5,2015
Chococard (Lapos),Hungary,Nicaragua,72,2.5,2019
Chococard (Lapos),Hungary,Dominican Republic,71,3.25,2019
Chocolarder,U.K.,Peru,65,2.5,2015
Chocolarder,U.K.,Dominican Republic,80,2.5,2015
Chocolarder,U.K.,Peru,65,2.75,2015
Chocolarder,U.K.,Madagascar,74,3,2019
Chocola'te,U.S.A.,Madagascar,70,3.75,2011
Chocola'te,U.S.A.,Venezuela,68,3.75,2011
Chocolate Alchemist-Philly,U.S.A.,Peru,90,2.5,2016
Chocolate Alchemist-Philly,U.S.A.,Blend,80,2.5,2016
Chocolate Con Amor,U.S.A.,Bolivia,70,2.5,2016
Chocolate Con Amor,U.S.A.,Uganda,70,2.75,2016
Chocolate Con Amor,U.S.A.,Nicaragua,80,2.75,2016
Chocolate Con Amor,U.S.A.,Dominican Republic,60,3,2016
Chocolate Con Amor,U.S.A.,Dominican Republic,75,3,2016
Chocolate Con Amor,U.S.A.,Venezuela,80,3,2016
Chocolate Con Amor,U.S.A.,Ecuador,70,3.25,2016
Chocolate Conspiracy,U.S.A.,Peru,74,2.75,2014
Chocolate Makers,Amsterdam,Dominican Republic,75,3.25,2015
Chocolate Makers,Amsterdam,Congo,68,3.5,2015
Chocolate Makers,Amsterdam,Peru,80,3.75,2015
Chocolate Tree,Scotland,Ecuador,82,2.5,2012
Chocolate Tree,Scotland,Peru,68,2.75,2012
Chocolate Tree,Scotland,Madagascar,72,3.25,2012
Chocolate Tree,Scotland,Peru,70,3.75,2013
Chocolate Tree,Scotland,Peru,69,3.75,2015
Chocolate Tree,Scotland,Venezuela,80,3.75,2015
Chocolate Tree,Scotland,Venezuela,70,2.75,2021
Chocolates by Josh (Box Chocolate),U.S.A.,Dominican Republic,72,3.25,2018
Chocolatoa,Belgium,India,70,3,2019
Chocolats Privilege,Canada,Mexico,70,2.5,2014
Chocolibrium,U.S.A.,India,63,2.5,2018
Chocolibrium,U.S.A.,Guatemala,76,2.75,2018
Chocolibrium,U.S.A.,Peru,70,2.75,2018
ChocoReko,Japan,Venezuela,77,3,2015
Chocosol,Canada,Mexico,65,3.25,2011
Chocosol,Canada,Mexico,75,3.25,2016
Chocotenango,U.S.A.,Guatemala,70,3.25,2021
Chocotenango,U.S.A.,Dominican Republic,73,3.25,2021
Chocotenango,U.S.A.,Belize,70,3.5,2021
Chocovic,Spain,Ecuador,71,2.5,2007
Chocovic,Spain,Grenada,71,2.5,2007
Chocovic,Spain,Blend,70,3,2007
Chocovic,Spain,Venezuela,71,3.5,2008
Chocovic,Spain,Blend,60,3.25,2009
Chocovic,Spain,Blend,75,3.25,2009
Chocovic,Spain,Mexico,71,3.25,2010
Chocovic,Spain,Madagascar,71,3.5,2010
Chocovivo,U.S.A.,Mexico,65,2.5,2015
Chocovivo,U.S.A.,Mexico,75,2.5,2015
Choklat,Canada,Venezuela,80,2.5,2009
Choklat,Canada,Mexico,70,2.75,2009
Choklat,Canada,Brazil,70,3,2009
Choklat,Canada,Brazil,80,3,2009
Choklat,Canada,Venezuela,70,3,2009
Chokola,U.S.A.,Guatemala,70,3.5,2020
Chokola,U.S.A.,Venezuela,75,3.75,2020
Chokola,U.S.A.,Belize,70,3.75,2020
Chokola,U.S.A.,Madagascar,67,4,2020
Chokola,U.S.A.,Tanzania,75,3.5,2021
Chokola,U.S.A.,Bolivia,75,3.75,2021
Chokolat Elot (Girard),Martinique,Martinique,42,2.75,2013
Christophe Toury,U.S.A.,Peru,70,2.75,2018
Christopher Elbow,U.S.A.,Peru,75,3.75,2018
Christopher Elbow,U.S.A.,Vietnam,72,3,2019
Christopher Elbow,U.S.A.,Costa Rica,70,3.25,2019
Christopher Elbow,U.S.A.,Ecuador,73,3.5,2019
Christopher Elbow,U.S.A.,Tanzania,72,3.5,2019
Christopher Elbow,U.S.A.,Dominican Republic,72,3.75,2019
Christopher Elbow,U.S.A.,Brazil,70,4,2019
Christopher Morel (Felchlin),Canada,Peru,68,3.75,2011
Chuao Chocolatier,U.S.A.,Venezuela,61,3,2009
Chuao Chocolatier (Pralus),U.S.A.,Venezuela,77,2.75,2010
Claudio Corallo,Sao Tome,Blend,100,1,2008
Claudio Corallo,Sao Tome,Blend,80,3,2008
Claudio Corallo,Sao Tome,Blend,75,3.75,2008
Claudio Corallo,Sao Tome,Blend,73.5,3.75,2010
Cleveland Chocolate Company,U.S.A.,Dominican Republic,70,3.5,2021
Cleveland Chocolate Company,U.S.A.,Haiti,79,3.5,2021
Cloudforest,U.S.A.,Ecuador,73,3.5,2015
Coco,Canada,Peru,70,3.5,2020
Cocoa Carib,St. Lucia,St. Lucia,70,2.25,2019
Cocoa Forge,U.S.A.,Peru,68,3,2021
Cocoa Forge,U.S.A.,Madagascar,77,3.25,2021
Cocoa Forge,U.S.A.,Colombia,70,3.25,2021
Compania de Chocolate (Salgado),Argentina,Venezuela,80,2.75,2008
Compania de Chocolate (Salgado),Argentina,Ecuador,88,2.75,2008
Compania de Chocolate (Salgado),Argentina,Bolivia,72,3.25,2008
Compania de Chocolate (Salgado),Argentina,Venezuela,70,3.75,2008
Compania de Chocolate (Salgado),Argentina,Venezuela,70,3.25,2010
Condor,U.S.A.,Ecuador,76,3.5,2015
Confluence,U.S.A.,Vietnam,78,2.75,2016
Conjure,U.S.A.,Philippines,70,2.5,2021
Conjure,U.S.A.,Ivory Coast,70,2.5,2021
Conjure,U.S.A.,Peru,68,3.25,2021
Conjure,U.S.A.,Tanzania,75,3.5,2021
Coppeneur,Germany,Madagascar,72,3,2007
Coppeneur,Germany,Mexico,72,3,2008
Coppeneur,Germany,Venezuela,72,3,2008
Coppeneur,Germany,Peru,72,3,2009
Coppeneur,Germany,Peru,62,3.25,2009
Coppeneur,Germany,Venezuela,70,3.5,2009
Coppeneur,Germany,Venezuela,70,3.75,2009
Coppeneur,Germany,Ecuador,72,2.5,2010
Coppeneur,Germany,Venezuela,70,3,2010
Coppeneur,Germany,Trinidad,72,3,2010
Coppeneur,Germany,Grenada,72,3.25,2010
Coppeneur,Germany,Jamaica,72,3.25,2010
Coppeneur,Germany,Venezuela,72,3.25,2010
Coppeneur,Germany,Ecuador,100,1.5,2012
Coppeneur,Germany,Ghana,85,3.5,2012
Coppeneur,Germany,Madagascar,70,3.5,2012
Coppeneur,Germany,Blend,72,3.75,2012
Coppeneur,Germany,Ecuador,65,3.25,2013
Coppeneur,Germany,Ghana,75,3.75,2017
Cote d' Or (Kraft),Belgium,Blend,70,1,2006
Cravve,Australia,Tanzania,75,3.25,2012
Cravve,Australia,Brazil,65,3.25,2012
Cravve,Australia,Fiji,67,3.25,2012
Cravve,Australia,Vanuatu,64,3.25,2012
Cravve,Australia,Papua New Guinea,75,3.5,2012
Cravve,Australia,Papua New Guinea,70,2.5,2014
Cravve,Australia,Vanuatu,83,2.75,2014
Creo,U.S.A.,Ecuador,85,3.25,2016
Creo,U.S.A.,Ecuador,73,3.75,2016
Crow and Moss,U.S.A.,Dominican Republic,70,3.25,2020
Crow and Moss,U.S.A.,Colombia,70,3.25,2020
Crow and Moss,U.S.A.,Ecuador,70,3.25,2020
Crow and Moss,U.S.A.,Honduras,70,3.5,2020
Crow and Moss,U.S.A.,India,70,3.75,2021
Cultura,U.S.A.,Guatemala,70,3.25,2020
Cultura,U.S.A.,Haiti,70,3.5,2020
Cultura,U.S.A.,Belize,75,3.5,2020
Cultura,U.S.A.,Mexico,70,3.5,2020
Cuna de Piedra,Mexico,Mexico,73,3.75,2021
Daintree,Australia,Australia,70,3.25,2011
Daintree,Australia,Australia,70,2.75,2015
Dalloway,U.S.A.,Dominican Republic,72,2.75,2017
Damson,U.K.,Grenada,70,2.25,2015
Damson,U.K.,Nicaragua,70,2.75,2015
Damson,U.K.,Trinidad,70,3,2015
Damson,U.K.,Ecuador,70,3.5,2015
Damson,U.K.,Blend,65,2.5,2018
Dancing Lion,U.S.A.,Puerto Rico,68,2.5,2021
Dancing Lion,U.S.A.,India,72,3,2021
Dancing Lion,U.S.A.,Peru,72,3.5,2021
Dandelion,U.S.A.,Costa Rica,70,3,2012
Dandelion,U.S.A.,Colombia,70,3.25,2012
Dandelion,U.S.A.,Dominican Republic,70,3.75,2012
Dandelion,U.S.A.,Venezuela,70,2.75,2013
Dandelion,U.S.A.,Venezuela,70,3.25,2013
Dandelion,U.S.A.,Venezuela,70,3.5,2013
Dandelion,U.S.A.,Papua New Guinea,70,3.5,2013
Dandelion,U.S.A.,Liberia,70,2.75,2014
Dandelion,U.S.A.,Belize,70,3.5,2014
Dandelion,U.S.A.,Ecuador,70,3.5,2014
Dandelion,U.S.A.,Dominican Republic,70,3.75,2014
Dandelion,U.S.A.,Belize,70,3,2015
Dandelion,U.S.A.,Dominican Republic,70,3.75,2016
Dandelion,U.S.A.,Costa Rica,70,3,2017
Dandelion,U.S.A.,Sierra Leone,70,3,2018
Dandelion,U.S.A.,Honduras,70,3.25,2018
Dandelion,U.S.A.,India,70,3.5,2018
Dandelion,U.S.A.,Vietnam,70,3.5,2019
Dandelion,U.S.A.,Guatemala,70,2.75,2021
Dandelion,U.S.A.,India,70,2.75,2021
Dandelion,U.S.A.,Peru,70,3.25,2021
Dandelion,U.S.A.,India,70,3.25,2021
Dandelion,U.S.A.,Tanzania,70,3.5,2021
Dandelion,U.S.A.,Dominican Republic,70,3.5,2021
Dandelion,U.S.A.,Brazil,70,4,2021
Dandelion (aka Brower Ave),U.S.A.,Dominican Republic,70,3.25,2011
Dandelion (aka Brower Ave),U.S.A.,Madagascar,70,3.25,2011
Dandelion (aka Brower Ave),U.S.A.,Tanzania,70,3.25,2011
Dandelion (Japan),U.S.A.,Dominican Republic,70,3,2021
Danta,Guatemala,Guatemala,75,3,2009
Danta,Guatemala,Guatemala,60,3.25,2009
Danta,Guatemala,Guatemala,60,3.5,2011
Danta,Guatemala,Venezuela,75,3,2012
Danta,Guatemala,Guatemala,70,3.25,2012
Danta,Guatemala,Guatemala,70,3.75,2012
Danta,Guatemala,Madagascar,70,3.75,2012
Danta,Guatemala,Guatemala,70,4,2012
Danta,Guatemala,Guatemala,82,3.25,2014
DAR,U.S.A.,Venezuela,72,2.75,2016
DAR,U.S.A.,Vietnam,72,3,2016
DAR,U.S.A.,Blend,70,3.25,2016
Darcis,Belgium,Peru,72,3,2019
Darcis,Belgium,Vietnam,70,3.25,2019
Dark Forest,U.S.A.,Madagascar,70,3,2015
Dark Forest,U.S.A.,Tanzania,70,3,2015
Dark Forest,U.S.A.,Venezuela,70,3.25,2015
Dark Forest,U.S.A.,Ecuador,70,3.25,2015
Dark Forest,U.S.A.,Bolivia,75,3.25,2016
Davis,U.S.A.,Blend,58,3.25,2012
Davis,U.S.A.,Ghana,70,2.5,2013
Davis,U.S.A.,Dominican Republic,70,2.75,2013
Davis,U.S.A.,Venezuela,70,2.75,2013
De Mendes,Brazil,Brazil,72,3.5,2015
De Mendes,Brazil,Brazil,65,3.5,2015
De Villiers,South Africa,Uganda,70,2.5,2016
De Villiers,South Africa,Madagascar,70,3,2016
Dean and Deluca (Belcolade),U.S.A.,Madagascar,66,2.5,2007
Dean and Deluca (Belcolade),U.S.A.,Costa Rica,64,3,2007
Dean and Deluca (Belcolade),U.S.A.,Ecuador,71,3,2007
Dean and Deluca (Belcolade),U.S.A.,Ghana,60,3,2007
Dean and Deluca (Belcolade),U.S.A.,Papua New Guinea,64,3,2007
Dean and Deluca (Belcolade),U.S.A.,Peru,64,3,2007
Debauve & Gallais (Michel Cluizel),France,Venezuela,66,3.75,2008
Debauve & Gallais (Michel Cluizel),France,Papua New Guinea,64,3,2009
Definite,Dominican Republic,Dominican Republic,70,2.5,2018
Definite,Dominican Republic,Dominican Republic,70,2.5,2018
Definite,Dominican Republic,Dominican Republic,80,3,2018
Desbarres,Canada,Tanzania,72,2.5,2016
Desbarres,Canada,Guatemala,72,3,2019
DeVries,U.S.A.,Costa Rica,77,3.5,2007
DeVries,U.S.A.,Dominican Republic,77,3.5,2007
DeVries,U.S.A.,Bolivia,80,2.75,2008
Dick Taylor,U.S.A.,Madagascar,80,2.75,2011
Dick Taylor,U.S.A.,Venezuela,75,2.75,2011
Dick Taylor,U.S.A.,Dominican Republic,74,3,2011
Dick Taylor,U.S.A.,Ecuador,70,3.25,2011
Dick Taylor,U.S.A.,Bolivia,75,2.75,2012
Dick Taylor,U.S.A.,Ecuador,70,3.25,2013
Dick Taylor,U.S.A.,Ecuador,76,3.5,2013
Dick Taylor,U.S.A.,Dominican Republic,74,3.5,2014
Dick Taylor,U.S.A.,Bolivia,70,3.75,2015
Dick Taylor,U.S.A.,Vietnam,78,3.5,2016
Dick Taylor,U.S.A.,Guatemala,70,3.75,2017
Dick Taylor,U.S.A.,Brazil,75,3.75,2017
Dick Taylor,U.S.A.,Solomon Islands,72,4,2017
Dick Taylor,U.S.A.,Fiji,80,3.75,2018
Dick Taylor,U.S.A.,Madagascar,72,3.75,2019
Dick Taylor,U.S.A.,Belize,72,4,2019
Dick Taylor,U.S.A.,Blend,73,3.5,2020
Dick Taylor,U.S.A.,Jamaica,75,3.75,2021
Dick Taylor,U.S.A.,Mexico,72,4,2021
Diogo Vaz,Sao Tome & Principe,Sao Tome,75,2.5,2019
Diogo Vaz,Sao Tome & Principe,Sao Tome,70,2.75,2019
Diogo Vaz,Sao Tome & Principe,Sao Tome,65,3,2019
Diogo Vaz,Sao Tome & Principe,Sao Tome,75,3,2019
Doble & Bignall,U.K.,Panama,72,3.25,2014
Doble & Bignall,U.K.,Venezuela,72,3.25,2014
Doble & Bignall,U.K.,Nicaragua,72,3.5,2014
Doble & Bignall,U.K.,Venezuela,85,3,2015
Dole (Guittard),U.S.A.,U.S.A.,70,3.75,2009
Dolfin (Belcolade),Belgium,Blend,70,1.5,2006
Dolfin (Belcolade),Belgium,Blend,88,3,2008
Domori,Italy,Venezuela,70,3,2006
Domori,Italy,Peru,70,3.25,2006
Domori,Italy,Venezuela,70,3.5,2006
Domori,Italy,Venezuela,75,3.25,2007
Domori,Italy,Venezuela,60,3.25,2007
Domori,Italy,Madagascar,70,3.5,2007
Domori,Italy,Madagascar,70,3.5,2007
Domori,Italy,Indonesia,70,3.75,2007
Domori,Italy,Venezuela,70,4,2007
Domori,Italy,Ecuador,70,4,2007
Domori,Italy,Venezuela,70,4,2007
Domori,Italy,Venezuela,70,3,2008
Domori,Italy,Colombia,70,3,2008
Domori,Italy,Blend,78,3.5,2008
Domori,Italy,Blend,70,3.75,2008
Domori,Italy,Venezuela,70,3,2010
Domori,Italy,Venezuela,70,3.5,2011
Domori,Italy,Tanzania,70,3.5,2012
Domori,Italy,Venezuela,70,3.75,2012
Domori,Italy,Venezuela,100,3,2013
Domori,Italy,Ecuador,70,3.75,2015
Domori,Italy,Venezuela,70,3.75,2015
Domori,Italy,Tanzania,70,4,2018
Dormouse,U.K.,Venezuela,70,2.5,2015
Dormouse,U.K.,Colombia,80,2.75,2015
Dormouse,U.K.,Madagascar,77,2.75,2015
Dormouse,U.K.,Grenada,75,2.75,2016
Dormouse,U.K.,Philippines,71.50,2.75,2018
Dormouse,U.K.,Guatemala,72,3.5,2018
Dormouse,U.K.,Peru,80,3.5,2018
Dormouse,U.K.,Belize,78,3.25,2021
Double Spiral,U.S.A.,Dominican Republic,75,2.5,2019
Double Spiral,U.S.A.,Tanzania,70,2.75,2019
Double Spiral,U.S.A.,Dominican Republic,75,3,2019
Duffy's,U.K.,Ecuador,70,2.5,2010
Duffy's,U.K.,Panama,70,3.5,2010
Duffy's,U.K.,Ecuador,72,3.75,2010
Duffy's,U.K.,Peru,70,3.75,2010
Duffy's,U.K.,Panama,72,3,2011
Duffy's,U.K.,Nicaragua,71,3.25,2011
Duffy's,U.K.,Dominican Republic,65,3.5,2011
Duffy's,U.K.,Venezuela,71,3.5,2011
Duffy's,U.K.,Honduras,72,3.75,2011
Duffy's,U.K.,Venezuela,72,3.75,2012
Duffy's,U.K.,Nicaragua,70,3.5,2014
Duffy's,U.K.,Nicaragua,76,3.75,2014
Duffy's,U.K.,Guatemala,70,4,2015
Duffy's,U.K.,Nigeria,70,2.75,2017
Duffy's,U.K.,Guatemala,80,3.25,2018
Duffy's,U.K.,Philippines,70,3.5,2019
Duffy's,U.K.,Nicaragua,70,3.5,2021
Dulcinea,U.S.A.,Dominican Republic,70,3.25,2015
Durand,France,Madagascar,82,2.75,2012
Durci,U.S.A.,Dominican Republic,70,3.25,2015
Durci,U.S.A.,Venezuela,70,3.25,2015
Durci,U.S.A.,Peru,70,3.5,2015
Durci,U.S.A.,Venezuela,70,3.5,2015
Durci,U.S.A.,Ecuador,70,4,2015
Durci,U.S.A.,Peru,70,4,2018
East Van Roasters,Canada,Peru,70,3.25,2014
East Van Roasters,Canada,Madagascar,70,3.5,2014
East Van Roasters,Canada,Dominican Republic,70,3.75,2014
Eau de Rose,Canada,Colombia,70,3.25,2016
Eau de Rose,Canada,Colombia,70,3.25,2016
Eclat (Felchlin),U.S.A.,Peru,72,2.75,2012
Eclat (Fruition),U.S.A.,Peru,80,3.5,2019
Edelmond,Germany,Venezuela,68,3,2016
El Buen,U.S.A.,Madagascar,70,3,2020
El Buen,U.S.A.,Colombia,70,3,2020
El Ceibo,Bolivia,Bolivia,71,2.75,2008
El Ceibo,Bolivia,Bolivia,75,3.75,2011
El Rey,Venezuela,Venezuela,70,2.75,2006
El Rey,Venezuela,Venezuela,74,2.5,2008
El Rey,Venezuela,Venezuela,58,2.5,2008
El Rey,Venezuela,Venezuela,61,3,2008
El Rey,Venezuela,Venezuela,60.5,2.75,2009
El Rey,Venezuela,Venezuela,70,3,2009
El Rey,Venezuela,Venezuela,70,3.75,2015
Eldora,U.S.A.,Guatemala,70,3.5,2019
Emerald Estate,St. Lucia,St. Lucia,60,2.75,2013
Emerald Estate,St. Lucia,St. Lucia,70,3.25,2013
Emily's,Japan,Venezuela,79,3,2015
Emily's,Japan,Peru,78,3.5,2015
Encuentro,France,Dominican Republic,70,3.25,2018
Encuentro,France,Haiti,70,3.5,2018
Encuentro,France,Guatemala,70,3.5,2018
Encuentro,France,Madagascar,70,3.5,2018
ENNA,U.S.A.,Honduras,75,3.25,2016
ENNA,U.S.A.,Vietnam,72,3,2018
ENNA,U.S.A.,Sierra Leone,70,2.5,2019
ENNA,U.S.A.,Tanzania,80,3,2019
ENNA,U.S.A.,Trinidad,72,3.5,2019
Enric Rovira (Claudio Corallo),Spain,Blend,80,3.25,2010
Erithaj (A. Morin),France,Vietnam,80,3,2014
Erithaj (A. Morin),France,Vietnam,70,3.25,2014
Erithaj (A. Morin),France,Vietnam,74,3.25,2014
Escazu,U.S.A.,Venezuela,72,3,2008
Escazu,U.S.A.,Costa Rica,65,2,2009
Escazu,U.S.A.,Blend,74,2.75,2009
Escazu,U.S.A.,Venezuela,81,3.5,2009
Escazu,U.S.A.,Venezuela,70,2.75,2012
Escazu,U.S.A.,Blend,65,3,2021
Escazu,U.S.A.,Colombia,70,3.5,2021
Ethel's Artisan (Mars),U.S.A.,Blend,55,2.5,2011
Ethel's Artisan (Mars),U.S.A.,Trinidad,55,2.5,2011
Ethel's Artisan (Mars),U.S.A.,Venezuela,70,2.5,2011
Ethel's Artisan (Mars),U.S.A.,Blend,62,2.5,2011
Ethel's Artisan (Mars),U.S.A.,Blend,62,2.75,2011
Ethereal,U.S.A.,Belize,80,3,2014
Ethereal,U.S.A.,Ecuador,80,3.5,2014
Ethereal,U.S.A.,Dominican Republic,80,3.75,2014
Ethereal,U.S.A.,Guatemala,80,3.5,2018
Ethereal,U.S.A.,Uganda,70,3,2021
Exquisito,U.S.A.,Peru,73,3,2019
Fearless (AMMA),U.S.A.,Brazil,75,2.75,2010
Feitoria Cacao,Portugal,Venezuela,76,2.5,2016
Feitoria Cacao,Portugal,Belize,76,2.75,2016
Feitoria Cacao,Portugal,Jamaica,76,3,2016
Felchlin,Switzerland,Blend,62,2,2006
Felchlin,Switzerland,Madagascar,64,3,2006
Felchlin,Switzerland,Venezuela,65,3,2006
Felchlin,Switzerland,Dominican Republic,74,3,2006
Felchlin,Switzerland,Ecuador,72,3.5,2006
Felchlin,Switzerland,Bolivia,68,4,2006
Felchlin,Switzerland,Grenada,58,3.5,2010
Finca,U.S.A.,Puerto Rico,65,2.25,2014
Finca,U.S.A.,Dominican Republic,85,2.5,2014
Finca,U.S.A.,Dominican Republic,80,3,2014
Finca,U.S.A.,Dominican Republic,70,3.25,2014
Finnia,Canada,Honduras,70,2.75,2020
Finnia,Canada,Colombia,70,2.75,2020
Finnia,Canada,Mexico,70,3,2020
Finnia,Canada,Blend,70,3.25,2020
Firetree,U.K.,Philippines,73,3.25,2019
Firetree,U.K.,Papua New Guinea,72,3.5,2019
Firetree,U.K.,Solomon Islands,69,3.5,2019
Firetree,U.K.,Vanuatu,72,3.75,2019
Five (5)Mile,U.S.A.,Belize,75,2.75,2018
Five (5)Mile,U.S.A.,Guatemala,75,2.75,2018
Five (5)Mile,U.S.A.,Colombia,75,3,2018
Five (5)Mile,U.S.A.,Dominican Republic,75,3.5,2018
FJAK,Norway,Madagascar,70,3,2018
FJAK,Norway,India,68,3.5,2018
FJAK,Norway,Tanzania,70,3.5,2018
Forever Cacao,U.K.,Peru,72,2.75,2014
Forteza (Cortes),Puerto Rico,Dominican Republic,70,2.75,2016
Forteza (Cortes),Puerto Rico,Dominican Republic,80,2.75,2016
Fossa,Singapore,Madagascar,70,2.75,2016
Fossa,Singapore,Ecuador,75,3.5,2016
Fossa,Singapore,Tanzania,67,3.75,2016
Fossa,Singapore,Dominican Republic,72,2.75,2018
Fossa,Singapore,Bolivia,70,3,2018
Fossa,Singapore,Indonesia,70,3,2018
Fossa,Singapore,Philippines,70,3.25,2018
Fossa,Singapore,Haiti,68,3.5,2018
Fossa,Singapore,Mexico,70,3,2019
Fossa,Singapore,Madagascar,70,3.5,2019
Fossa,Singapore,Indonesia,72,3.5,2021
Fossa,Singapore,Malaysia,72,3.5,2021
Foundry,New Zealand,Papua New Guinea,70,3,2019
Foundry,New Zealand,Bolivia,70,3,2019
Foundry,New Zealand,Vanuatu,70,3,2019
Foundry,New Zealand,Colombia,70,3,2019
Foundry,New Zealand,Tanzania,70,3.25,2019
Foundry,New Zealand,Ecuador,70,3.75,2019
Foundry,New Zealand,Peru,70,3.75,2019
Franceschi,Venezuela,Venezuela,60,3.5,2012
Franceschi,Venezuela,Venezuela,70,3.75,2012
Franceschi,Venezuela,Venezuela,70,3.5,2014
Franceschi,Venezuela,Venezuela,70,3.75,2014
Franceschi,Venezuela,Venezuela,60,2.5,2018
Franceschi,Venezuela,Venezuela,70,3,2018
Franceschi,Venezuela,Venezuela,85,3,2018
Franceschi,Venezuela,Venezuela,70,3.25,2018
Franceschi,Venezuela,Venezuela,72,3.5,2018
Frederic Blondeel,Belgium,Ghana,60,3.5,2014
Frederic Blondeel,Belgium,Madagascar,65,3.5,2014
Frederic Blondeel,Belgium,Vietnam,80,3,2015
Frederic Blondeel,Belgium,Costa Rica,70,3.5,2015
Frederic Blondeel,Belgium,Peru,75,3.5,2015
French Broad,U.S.A.,Peru,70,3.5,2011
French Broad,U.S.A.,Dominican Republic,65,3.5,2011
French Broad,U.S.A.,Peru,81,2,2012
French Broad,U.S.A.,Peru,70,2.5,2012
French Broad,U.S.A.,Peru,66,3.5,2012
French Broad,U.S.A.,Peru,66,3.5,2013
French Broad,U.S.A.,Costa Rica,80,3,2014
French Broad,U.S.A.,Nicaragua,68,3.25,2014
French Broad,U.S.A.,Guatemala,73,3.5,2015
French Broad,U.S.A.,Peru,70,3.5,2017
French Broad,U.S.A.,India,71,3.25,2019
Fresco,U.S.A.,Jamaica,80,2.75,2009
Fresco,U.S.A.,Jamaica,70,3,2009
Fresco,U.S.A.,Jamaica,70,3.25,2009
Fresco,U.S.A.,Venezuela,65,3.5,2009
Fresco,U.S.A.,Ghana,74,2.75,2011
Fresco,U.S.A.,Madagascar,74,2.75,2011
Fresco,U.S.A.,Madagascar,74,3,2011
Fresco,U.S.A.,Jamaica,70,3.25,2011
Fresco,U.S.A.,Dominican Republic,72,3.25,2011
Fresco,U.S.A.,Venezuela,76,3.25,2011
Fresco,U.S.A.,Dominican Republic,72,3.5,2011
Fresco,U.S.A.,Jamaica,70,3.5,2011
Fresco,U.S.A.,Venezuela,70,4,2011
Fresco,U.S.A.,Papua New Guinea,69,3,2012
Fresco,U.S.A.,Papua New Guinea,69,3.5,2012
Fresco,U.S.A.,Papua New Guinea,69,3.5,2012
Fresco,U.S.A.,Madagascar,74,4,2012
Fresco,U.S.A.,Papua New Guinea,69,4,2012
Fresco,U.S.A.,Dominican Republic,72,3.25,2013
Fresco,U.S.A.,Dominican Republic,72,3.75,2013
Fresco,U.S.A.,Peru,70,3.75,2013
Fresco,U.S.A.,Peru,70,4,2013
Fresco,U.S.A.,Peru,70,3,2014
Fresco,U.S.A.,Peru,70,3.5,2014
Fresco,U.S.A.,Peru,70,3.5,2014
Fresco,U.S.A.,Peru,70,3.5,2014
Fresco,U.S.A.,Guatemala,70,3.5,2017
Fresco,U.S.A.,Guatemala,70,3.5,2017
Fresco,U.S.A.,Guatemala,70,3.75,2017
Fresco,U.S.A.,Venezuela,72,3.25,2018
Fresco,U.S.A.,Venezuela,72,3.5,2018
Fresco,U.S.A.,Peru,74,3,2021
Fresco,U.S.A.,Ghana,68,3.25,2021
Fresco,U.S.A.,Peru,74,3.25,2021
Fresco,U.S.A.,Ghana,68,3.5,2021
Fresco,U.S.A.,Nicaragua,70,3.5,2021
Fresco,U.S.A.,Madagascar,70,3.5,2021
Fresco,U.S.A.,Nicaragua,70,3.75,2021
Fresco,U.S.A.,Venezuela,68,4,2021
Fresh Coast,U.S.A.,Brazil,70,3.5,2017
Fresh Coast,U.S.A.,Tanzania,70,3.75,2017
Fresh Coast aka Just Good Choc.,U.S.A.,Belize,70,3.5,2014
Fresh Coast aka Just Good Choc.,U.S.A.,Madagascar,70,3.5,2014
Fresh Coast aka Just Good Choc.,U.S.A.,Peru,70,4,2014
Friis Holm,Denmark,Nicaragua,70,3.5,2016
Friis Holm,Denmark,Nicaragua,70,3.75,2017
Friis Holm,Denmark,Nicaragua,60,3,2018
Friis Holm,Denmark,Nicaragua,70,3,2018
Friis Holm,Denmark,Nicaragua,70,3.25,2018
Friis Holm,Denmark,Nicaragua,70,3.25,2018
Friis Holm,Denmark,Nicaragua,68,3.5,2018
Friis Holm,Denmark,Nicaragua,70,3.5,2018
Friis Holm,Denmark,Nicaragua,70,3.75,2018
Friis Holm,Denmark,Nicaragua,70,3.75,2018
Friis Holm,Denmark,Nicaragua,70,3.75,2018
Friis Holm,Denmark,Guatemala,70,4,2018
Friis Holm,Denmark,Nicaragua,70,4,2018
Friis Holm (Bonnat),Denmark,Nicaragua,70,3.25,2011
Friis Holm (Bonnat),Denmark,Nicaragua,70,3.5,2011
Friis Holm (Bonnat),Denmark,Nicaragua,70,3.5,2011
Friis Holm (Bonnat),Denmark,Nicaragua,70,3.25,2012
Friis Holm (Bonnat),Denmark,Honduras,70,3.25,2012
Friis Holm (Bonnat),Denmark,Nicaragua,70,3.25,2012
Friis Holm (Bonnat),Denmark,Nicaragua,70,3.75,2012
Friis Holm (Bonnat),Denmark,Nicaragua,70,3.25,2013
Friis Holm (Bonnat),Denmark,Nicaragua,70,3.5,2013
Friis Holm (Bonnat),Denmark,Nicaragua,70,3.5,2014
Friis Holm (Bonnat),Denmark,Nicaragua,60,3,2015
Friis Holm (Bonnat),Denmark,Nicaragua,85,3.25,2015
Fruition,U.S.A.,Costa Rica,70,3,2011
